Phrase_ID	YUA	ES	Communicative_Context
YUAES0000757	In na'e' yaan u bin ook'in tu kúuchil báaxal	Mi mamá va a ir al parque por la noche	COMMC0002
YUAES0000758	In na'e' yaan u bin ja'atskab tu kúuchil báaxal	Mi mamá va a ir al parque por la mañana	COMMC0002
YUAES0000759	In na'e' yaan u bin ka'akat tu kúuchil báaxal	Mi mamá va a ir al parque más tarde	COMMC0002
YUAES0000760	In taatae' yaan u bin sáamal tu kúuchil báaxal	Mi papá va a ir al parque mañana	COMMC0002
YUAES0000761	In taatae' yaan u bin ka'abej tu kúuchil báaxal	Mi papá va a ir al parque pasado mañana	COMMC0002
YUAES0000762	In taatae' yaan u bin ook'in tu kúuchil báaxal	Mi papá va a ir al parque por la noche	COMMC0002
YUAES0000763	In taatae' yaan u bin ja'atskab tu kúuchil báaxal	Mi papá va a ir al parque por la mañana	COMMC0002
YUAES0000764	In taatae' yaan u bin ka'akat tu kúuchil báaxal	Mi papá va a ir al parque más tarde	COMMC0002
YUAES0000765	In yuume' yaan u bin sáamal tu kúuchil báaxal	Mi papá va a ir al parque mañana	COMMC0002
YUAES0000766	In yuume' yaan u bin ka'abej tu kúuchil báaxal	Mi papá va a ir al parque pasado mañana	COMMC0002
YUAES0000767	In yuume' yaan u bin ook'in tu kúuchil báaxal	Mi papá va a ir al parque por la noche	COMMC0002
YUAES0000768	In yuume' yaan u bin ja'atskab tu kúuchil báaxal	Mi papá va a ir al parque por la mañana	COMMC0002
YUAES0000769	In yuume' yaan u bin ka'akat tu kúuchil báaxal	Mi papá va a ir al parque más tarde	COMMC0002
YUAES0000770	In suku'une' yaan u bin sáamal tu kúuchil báaxal	Mi hermano va a ir al parque mañana	COMMC0002
YUAES0000771	In suku'une' yaan u bin ka'abej tu kúuchil báaxal	Mi hermano va a ir al parque pasado mañana	COMMC0002
YUAES0000772	In suku'une' yaan u bin ook'in tu kúuchil báaxal	Mi hermano va a ir al parque por la noche	COMMC0002
YUAES0000773	In suku'une' yaan u bin ja'atskab tu kúuchil báaxal	Mi hermano va a ir al parque por la mañana	COMMC0002
YUAES0000774	In suku'une' yaan u bin ka'akat tu kúuchil báaxal	Mi hermano va a ir al parque más tarde	COMMC0002
YUAES0000775	In kiike' yaan u bin sáamal tu kúuchil báaxal	Mi hermana va a ir al parque mañana	COMMC0002
YUAES0000776	In kiike' yaan u bin ka'abej tu kúuchil báaxal	Mi hermana va a ir al parque pasado mañana	COMMC0002
YUAES0000777	In kiike' yaan u bin ook'in tu kúuchil báaxal	Mi hermana va a ir al parque por la noche	COMMC0002
YUAES0000778	In kiike' yaan u bin ja'atskab tu kúuchil báaxal	Mi hermana va a ir al parque por la mañana	COMMC0002
YUAES0000779	In kiike' yaan u bin ka'akat tu kúuchil báaxal	Mi hermana va a ir al parque más tarde	COMMC0002
YUAES0000780	In wíits'ine' yaan u bin sáamal tu kúuchil báaxal	Mi hermanito ira al parque mañana	COMMC0002
YUAES0000781	In wíits'ine' yaan u bin ka'abej tu kúuchil báaxal	Mi hermanito va a ir al parque pasado mañana	COMMC0002
YUAES0000782	In wíits'ine' yaan u bin ook'in tu kúuchil báaxal	Mi hermanito va a ir al parque por la noche	COMMC0002
YUAES0000783	In wíits'ine' yaan u bin ja'atskab tu kúuchil báaxal	Mi hermanito va a ir al parque por la mañana	COMMC0002
YUAES0000784	In wíits'ine' yaan u bin ka'akat tu kúuchil báaxal	Mi hermanito va a ir al parque más tarde	COMMC0002
YUAES0000785	In wíits'ine' yaan u bin sáamal tu kúuchil báaxal	Mi hermanita va a ir al parque mañana	COMMC0002
YUAES0000786	In wíits'ine' yaan u bin ka'abej tu kúuchil báaxal	Mi hermanita va a ir al parque pasado mañana	COMMC0002
YUAES0000787	In wíits'ine' yaan u bin ook'in tu kúuchil báaxal	Mi hermanita va a ir al parque por la noche	COMMC0002
YUAES0000788	In wíits'ine' yaan u bin ja'atskab tu kúuchil báaxal	Mi hermanita va a ir al parque por la mañana	COMMC0002
YUAES0000789	In wíits'ine' yaan u bin ka'akat tu kúuchil báaxal	Mi hermanita va a ir al parque más tarde	COMMC0002
YUAES0000790	In taatatsilo'obe' yaan u bino'ob sáamal tu kúuchil báaxal	Mis papás van a ir al parque mañana	COMMC0002
YUAES0000791	In taatatsilo'obe' yaan u bino'ob ka'abej tu kúuchil báaxal	Mis papás van a ir al parque pasado mañana	COMMC0002
YUAES0000792	In taatatsilo'obe' yaan u bino'ob ook'in tu kúuchil báaxal	Mis papás van a ir al parque por la noche	COMMC0002
YUAES0000793	In taatatsilo'obe' yaan u bino'ob ja'atskab tu kúuchil báaxal	Mis papás van a ir al parque por la mañana	COMMC0002
YUAES0000794	In taatatsilo'obe' yaan u bino'ob ka'akat tu kúuchil báaxal	Mis papás van a ir al parque más tarde	COMMC0002
YUAES0000795	Máax ku bin báaxal tu kúuchil báaxal	¿Quién va a ir a jugar al parque?	COMMC0002
YUAES0000796	Jach jats'uts le u kúuchil báaxalo'	El parque es muy bonito	COMMC0002
YUAES0000797	Jach k'aas le u kúuchil báaxalo'	El parque es muy feo	COMMC0002
YUAES0000798	Jach nojoch le u kúuchil báaxalo'	El parque es muy grande	COMMC0002
YUAES0000799	Jach chichan le u kúuchil báaxalo'	El parque es muy pequeño	COMMC0002
YUAES0000800	Kin báaxal kóocha' boola te' tu kúuchil báaxalo'	Juego fútbol en el parque	COMMC0002
YUAES0000801	Báaxalnajen yéetel in etail tu kúuchil báaxal	Jugué con mi amigo en el parque	COMMC0002
YUAES0000802	Báaxalnajen yéetel in etail tu kúuchil báaxal	Jugué con mi amiga en el parque	COMMC0002
YUAES0000803	Báaxalnajo'on yéetel in etailo'ob tu kúuchil báaxal	Jugamos con mis amigos en el parque	COMMC0002
YUAES0000804	Báaxalnajo'on yéetel in etailo'ob tu kúuchil báaxal	Jugamos con mis amigas en el parque	COMMC0002
YUAES0000805	Tin jaantaj jumpéel eladóo tu kúuchil báaxal	Comí un helado en el parque	COMMC0002
YUAES0000806	Tin wuk'aj jumpéel síis tu kúuchil báaxal	Me tomé un refresco en el parque	COMMC0002
YUAES0000807	Tin wilaj in soob tu kúuchil báaxal	Vi a mi sobrino en el parque	COMMC0002
YUAES0000808	Tin wilaj in soob tu kúuchil báaxal	Vi a mi sobrina en el parque	COMMC0002
YUAES0000809	Táan in páa'tikech tu kúuchil báaxal	Te estoy esperando en el parque	COMMC0002
YUAES0000810	Táan a páa'tal te' tu kúuchil báaxalo'	Te están esperando en el parque	COMMC0002
YUAES0000811	Jpáa'ta'ab te' tu kúuchil báaxalo'	Lo esperaron en el parque	COMMC0002
YUAES0000812	Jpáa'ta'ab te' tu kúuchil báaxalo'	La esperaron en el parque	COMMC0002
YUAES0000813	Tin páa'tajech te' tu kúuchil báaxalo'	Te esperé en el parque	COMMC0002
YUAES0000814	Tu páa'tajech te' tu kúuchil báaxalo'	Te esperó en el parque	COMMC0002
YUAES0000815	Jpáa'ta'abo'ob te' tu kúuchil báaxalo'	Los esperaron en el parque	COMMC0002
YUAES0000816	Jpáa'ta'abo'ob te' tu kúuchil báaxalo'	Las esperaron en el parque	COMMC0002
YUAES0000817	Jpáa'ta'abe'ex te' tu kúuchil báaxalo'	Les esperaron en el parque	COMMC0002
YUAES0000818	Yaan in páa'tikech te' tu kúuchil báaxalo'	Te esperaré en el parque	COMMC0002
YUAES0000819	Yaan a páa'ta'al te' tu kúuchil báaxalo'	Te van a esperar en el parque	COMMC0002
YUAES0000820	Yaan u páa'ta'alo'ob te' tu kúuchil báaxalo'	Los van a esperar en el parque	COMMC0002
YUAES0000821	Yaan u páa'ta'alo'ob te' tu kúuchil báaxalo'	Las van a esperar en el parque	COMMC0002
YUAES0000822	Yaan a páa'ta'ale'ex te' tu kúuchil báaxalo'	Les van a esperar en el parque	COMMC0002
YUAES0000823	K'aaynajen te' tu kúuchil báaxalo'	Canté en el parque	COMMC0002
YUAES0000824	K'aaynaja'anen te' tu kúuchil báaxalo'	Alguna vez canté en el parque	COMMC0002
YUAES0000825	Yaan in k'aay te' tu kúuchil báaxalo'	Voy a cantar en el parque	COMMC0002
YUAES0000826	Bíin k'aaynaken te' tu kúuchil báaxalo'	Algún día cantaré en el parque	COMMC0002
YUAES0000827	Yaan wáaj in k'aay te' tu kúuchil báaxalo'	¿Voy a cantar en el parque?	COMMC0002
YUAES0000828	Ma' tin k'aay te' tu kúuchil báaxalo'	No voy a cantar en el parque	COMMC0002
YUAES0000829	Tin jaantik nal te' tu kúuchil báaxalo'	Estoy comiendo elote en el parque	COMMC0002
YUAES0000830	Táan in jaantik nal te' tu kúuchil báaxalo'	Estoy comiendo elote en el parque	COMMC0002
YUAES0000831	Tin jaantaj ka'ap'éel nal te' tu kúuchil báaxalo'	Estoy comiendo dos elotes en el parque	COMMC0002
YUAES0000832	Tin jaantik ch'ujuk waaj te' tu kúuchil báaxalo'	Estoy comiendo pan dulce en el parque	COMMC0002
YUAES0000833	Táan in jaantik nal te' tu kúuchil báaxalo'	Estoy comiendo un elote en el parque	COMMC0002
YUAES0000834	Táan in jaantik ka'ap'éel nal te' tu kúuchil báaxalo'	Estoy comiendo dos elotes en el parque	COMMC0002
YUAES0000835	Táan in jaantik ch'ujuk waaj te' tu kúuchil báaxalo'	Estoy comiendo pan dulce en el parque	COMMC0002
YUAES0000836	Jbinen paax te' tu kúuchil báaxalo'	Fui a tocar en el parque	COMMC0002
YUAES0000837	Yaan jump'éel kúuchil báaxal tin kaajal	Hay un parque en mi pueblo	COMMC0002
YUAES0000838	Yaan ka'ap'éel kúuchil báaxal tin kaajal	Hay dos parques en mi pueblo	COMMC0002
YUAES0000839	Yaan óoxp'éel kúuchil báaxal tin kaajal	Hay tres parques en mi pueblo	COMMC0002
YUAES0000840	Yaan kamp'éel kúuchil báaxal tin kaajal	Hay cuatro parques en mi pueblo	COMMC0002
YUAES0000841	Yaan jump'éel kúuchil báaxal tin noj kaajal	Hay un parque en mi ciudad	COMMC0002
YUAES0000842	Yaan ka'ap'éel kúuchil báaxal tin noj kaajal	Hay dos parques en mi ciudad	COMMC0002
YUAES0000843	Yaan óoxp'éel kúuchil báaxal tin noj kaajal	Hay tres parques en mi ciudad	COMMC0002
YUAES0000844	Yaan kamp'éel kúuchil báaxal tin noj kaajal	Hay cuatro parques en mi ciudad	COMMC0002
YUAES0000845	Tin báaxal úumbal te' tu kúuchil báaxalo'	Me estoy columpiando en el parque	COMMC0002
YUAES0000846	Táan in báaxal úumbal te' tu kúuchil báaxalo'	Me estoy columpiando en el parque	COMMC0002
YUAES0000847	Leti'e' tu báaxal úumbal te' tu kúuchil báaxalo'	Él se está columpiando en el parque	COMMC0002
YUAES0000848	Leti'e' táan u báaxal úumbal te' tu kúuchil báaxalo'	Él se está columpiando en el parque	COMMC0002
YUAES0000849	Leti'e' tu báaxal úumbal te' tu kúuchil báaxalo'	Ella se está columpiando en el parque	COMMC0002
YUAES0000850	Leti'e' táan u báaxal úumbal te' tu kúuchil báaxalo'	Ella se está columpiando en el parque	COMMC0002
YUAES0000851	La paalalo'obo' tu báaxtiko'ob chukbay te' tu kúuchil báaxalo'	Los niños juegan al pesca pesca en el parque	COMMC0002
YUAES0000852	Tin wilaj ta báaxal úumbal te' tu kúuchil báaxalo'	Vi que estabas columpiandote en el parque	COMMC0002
YUAES0000853	Jlúuben te' tu kúuchil báaxalo'	Me caí en el parque	COMMC0002
YUAES0000854	Yaan junkúul ya'axche' te' tu kúuchil báaxalo'	Hay un árbol de ceiba en el parque	COMMC0002
YUAES0000855	Yaan junkúul láawrel te' tu kúuchil báaxalo'	Hay un árbol de laurel en el parque	COMMC0002
YUAES0000856	Yaan nikte'ob tu kúuchil báaxal	Hay flores en el parque	COMMC0002
YUAES0000857	Tin wilaj a lúubul tu kúuchil báaxal	Te vi caer en el parque	COMMC0002
YUAES0000858	Tin wayak'taj jbinen tu kúuchil báaxal	Soñé que fui al parque	COMMC0002
YUAES0000859	Tin wayak'taj jbinech tu kúuchil báaxal	soñé que fuiste al parque	COMMC0002
YUAES0000860	Tin wayak'taj jbino'on tu kúuchil báaxal	Soñé que fuimos al parque	COMMC0002
YUAES0000861	Tin wayak'taj jbine'ex tu kúuchil báaxal	Soñé que fueron al parque	COMMC0002
YUAES0000862	Tin náaytaj jbinen tu kúuchil báaxal	Soñé que fui al parque	COMMC0002
YUAES0000863	Tin náaytaj jbinech tu kúuchil báaxal	soñé que fuiste al parque	COMMC0002
YUAES0000864	Tin náaytaj jbino'on tu kúuchil báaxal	Soñé que fuimos al parque	COMMC0002
YUAES0000865	Tin náaytaj jbine'ex tu kúuchil báaxal	Soñé que fueron al parque	COMMC0002
YUAES0000866	Tin jaantaj máarkesita tu kúuchil báaxal	Comí marquesita en el parque	COMMC0002
YUAES0000867	Tin jaantaj eskitée tu kúuchil báaxal	Comí esquite en el parque	COMMC0002
YUAES0000868	Yaan jkoonolo'ob te' tu kúuchil báaxalo'	Hay vendedores en el parque	COMMC0002
YUAES0000869	Yaan xkoonolo'ob te' tu kúuchil báaxalo'	Hay vendedoras en el parque	COMMC0002
YUAES0000870	Yaan koonolo'ob te' tu kúuchil báaxalo'	Hay vendedores en el parque	COMMC0002
YUAES0000871	Yaan kisbuuts'o'ob te' tu kúuchil báaxalo'	Hay camiones en el parque	COMMC0002
YUAES0000872	Yaan u yúuchul óok'ot tu kúuchil báaxal	Habrá baile en el parque	COMMC0002
YUAES0000873	Yaan u yúuchul óok'oto'ob tu kúuchil báaxal	Habrán bailables en el parque	COMMC0002
YUAES0000874	Yaan jump'éel úuchben kúuchil báaxal tin kaajal	Hay un parque antiguo en mi pueblo	COMMC0002
YUAES0000875	Yaan jump'éel túumben kúuchil báaxal tin kaajal	Hay un parque nuevo en mi pueblo	COMMC0002
YUAES0000876	Táan u yutskíintal u kúuchil báaxal in kaajal	Están reparando el parque de mi pueblo	COMMC0002
YUAES0000877	Yaan jump'éel úuchben kúuchil báaxal tin noj kaajal	Hay un parque antiguo en mi ciudad	COMMC0002
YUAES0000878	Yaan jump'éel túumben kúuchil báaxal tin noj kaajal	Hay un parque nuevo en mi ciudad	COMMC0002
YUAES0000879	Táan u yutskíintal u kúuchil báaxal in noj kaajal	Están reparando el parque de mi ciudad	COMMC0002
YUAES0000880	Yaan jump'éel kúuchil báaxal naats' tin wotoch	Hay un parque cerca de mi casa	COMMC0002
YUAES0000881	Jp'áaten wenel te' tu kúuchil báaxalo'	Me quedé a dormir en el parque	COMMC0002
YUAES0000882	Jp'áatech wenel te' tu kúuchil báaxalo'	Te quedaste a dormir en el parque	COMMC0002
YUAES0000883	Jp'áato'on wenel tu kúuchil báaxal	Nos quedamos a dormir en el parque	COMMC0002
YUAES0000884	Jp'áate'ex wenel tu kúuchil báaxal	Se quedaron a dormir en el parque	COMMC0002
YUAES0000885	Jp'áato'ob wenel tu kúuchil báaxal	Ellos se quedaron a dormir en el parque	COMMC0002
YUAES0000886	Jsa'aten te' tu kúuchil báaxalo'	Me perdí en el parque	COMMC0002
YUAES0000887	Jsa'at bin te' tu kúuchil báaxalo'	Que se perdió en el parque	COMMC0002
YUAES0000888	Jsa'atal bin te' tu kúuchil báaxalo'	Que está perdido en el parque	COMMC0002
YUAES0000889	Jsa'atech te' tu kúuchil báaxalo'	Te perdiste en el parque	COMMC0002
YUAES0000890	Jsa'atech wáaj te' tu kúuchil báaxalo'	¿Te perdiste en el parque?	COMMC0002
YUAES0000891	Bix a sa'atal tu kúuchil báaxal	¿Cómo te perdiste en el parque?	COMMC0002
YUAES0000892	Tu'ux yaan le kúuchil báaxalo'	¿Dónde se ubica el parque?	COMMC0002
YUAES0000893	Bix u k'aaba' le kúuchil báaxalo'	¿Cómo se llama el parque?	COMMC0002
YUAES0000894	Jach ya'abach máako'ob yaano'ob te' tu kúuchil báaxalo'	Hay muchas personas en el parque	COMMC0002
YUAES0000895	Yaan juntúul kala'an wíinik te' tu kúuchil báaxalo'	Hay un borracho en el parque	COMMC0002
YUAES0000896	Yaan ka'atúul kala'an wíiniko'ob te' tu kúuchil báaxalo'	Hay dos borrachos en el parque	COMMC0002
YUAES0000897	Yaan juntúul ch'úupal kala'an te' tu kúuchil báaxalo'	Hay una muchacha borracha en el parque	COMMC0002
YUAES0000898	Yaan ka'atúul ch'úupal kala'an te' tu kúuchil báaxalo'	Hay dos muchachas borrachas en el parque	COMMC0002
YUAES0000899	Tin wilaj ta káaltal te' tu kúuchil báaxalo'	Vi que te estabas emborrachando en el parque	COMMC0002
YUAES0000900	Tin wilaj in éetailo'ob tu káaltalo'ob te' tu kúuchil báaxalo'	Vi que mis amigos se emborrachaban en el parque	COMMC0002
YUAES0000901	Jach séeb binech te' tu kúuchil báaxalo'	Te fuiste muy rápido al parque	COMMC0002
YUAES0000902	Jach séeb binikech te' tu kúuchil báaxalo'	Te fuiste muy rápido al parque	COMMC0002
YUAES0000903	Chan tu yawat paalalo'ob te' tu kúuchil báaxalo'	Hay alboroto de niños en el parque	COMMC0002
YUAES0000904	Chan tu yawat paalalo'ob te' tu kúuchil báaxalo'	Hay niños gritando en el parque	COMMC0002
YUAES0000905	Tin wilaj yaan jump'éel k'iimbesaj te' tu kúuchil báaxalo'	Vi que hay una fiesta en el parque	COMMC0002
YUAES0000906	Jóok'en in náays in wóol tu kúuchil báaxal	Salí a distraerme al parque	COMMC0002
YUAES0000907	Naats' tin hotel yaan le tu kúuchil báaxalo'	El parque se encuentra cerca de mi hotel	COMMC0002
YUAES0000908	J-jóok'en koonol tu kúuchil báaxal	Salí a vender al parque	COMMC0002
YUAES0000909	Jáan jbinen jun súutuk tu kúuchil báaxal	Fui un ratito al parque	COMMC0002
YUAES0000910	Mix jaaji', ma' jbinen tu kúuchil báaxali'	No es verdad, no fuí al parque	COMMC0002
YUAES0000911	Jk'áaxten ja' te' tu kúuchil báaxalo'	llovió mientras estaba en el parque	COMMC0002
YUAES0000912	Jach buulul le u kúuchil báaxalo'	El parque está inundado	COMMC0002
YUAES0000913	Ba'atelnajen te' tu kúuchil báaxalo'	Me peleé en el parque	COMMC0002
YUAES0000914	Ba'atelnajech te' tu kúuchil báaxalo'	Te peleaste en el parque	COMMC0002
YUAES0000915	Ba'atelnajo'ob te' tu kúuchil báaxalo'	Ellos se pelearon en el parque	COMMC0002
YUAES0000916	Ba'atelnaje'ex te' tu kúuchil báaxalo'	Ustedes se pelearon en el parque	COMMC0002
YUAES0000917	Máax ba'atelnaj te' tu kúuchil báaxalo'	¿Quién se peleó en el parque?	COMMC0002
YUAES0000918	Ma' tin wojéeltaj wa ba'atelnajech te' tu kúuchil báaxalo'	No supe si te habías peleado en el parque	COMMC0002
YUAES0000919	Tin xíimbal uti'al in bin tu kúuchil báaxal	estoy caminando para llegar al parque	COMMC0002
YUAES0000920	Táan in xíimbal uti'al in bin tu kúuchil báaxal	estoy caminando para llegar al parque	COMMC0002
YUAES0000921	Je'el in wilikech te' tu kúuchil báaxalo'	Te veo en el parque	COMMC0002
YUAES0000922	Te' yaanen te' tu kúuchil báaxalo'	Estoy en ese parque	COMMC0002
YUAES0000923	Ts'o'ok in k'úuchul te' tu kúuchil báaxalo'	Ya llegué al parque	COMMC0002
YUAES0000924	Ti' yanen tin juunal te' tu kúuchil báaxalo'	Estoy sola en el parque	COMMC0002
YUAES0000925	Táant in luk'ul te' tu kúuchil báaxalo'	Me acabo de quitar del parque	COMMC0002
YUAES0000926	kek ilikbáaj te' tu kúuchil báaxalo'	Nos vemos en el parque	COMMC0002
YUAES0000927	Tin t'anajech te' tu kúuchil báaxalo'	Te hablé en el parque	COMMC0002
YUAES0000928	Tin t'aanaj te' tu kúuchil báaxalo'	Le hablé en el parque	COMMC0002
YUAES0000929	Tin t'aanaje'ex te' tu kúuchil báaxalo'	Les hablé en el parque	COMMC0002
YUAES0000930	Tin t'anajo'ob te' tu kúuchil báaxalo'	Los hablé en el parque	COMMC0002
YUAES0000931	Jbinen áalkab te' taam kúuchil báaxalo'	Fui a correr en el parque hundido	COMMC0002
YUAES0000932	Leti'e' jbin áalkab te' taam kúuchil báaxalo'	Él fue a correr en el parque hundido	COMMC0002
YUAES0000933	Leti'e' jbin áalkab te' taam kúuchil báaxalo'	Ella fue a correr en el parque hundido	COMMC0002
YUAES0000934	Te'exe' jbine'ex áalkab te' taam kúuchil báaxalo'	Ustedes fueron a correr en el parque hundido	COMMC0002
YUAES0000935	To'one' jbino'on áalkab te' taam kúuchil báaxalo'	Nosotros fuimos a correr en el parque hundido	COMMC0002
YUAES0000936	Leti'o'obe' jbino'ob áalkab te' taam kúuchil báaxalo'	Ellos fueron a correr en el parque hundido	COMMC0002
YUAES0000937	jáa'sa'ab in wóol te' tu kúuchil báaxalo'	Me asustaron en el parque	COMMC0002
YUAES0000938	Jbinen xook te' tu kúuchil báaxalo'	Fuí a leer en el parque	COMMC0002
YUAES0000939	Jbinech wáaj xook te' tu kúuchil báaxalo'	¿Fuiste a leer al parque?	COMMC0002
YUAES0000940	Leti'e' jbin xook te' tu kúuchil báaxalo'	Él fue a leer en el parque	COMMC0002
YUAES0000941	Leti'e' jbin xook te' tu kúuchil báaxalo'	Ella fue a leer en el parque	COMMC0002
YUAES0000942	Te'exe' jbine'ex xook te tu kúuchil báaxalo'	Ustedes fueron a leer en el parque	COMMC0002
YUAES0000943	To'one' jbino'on xook te' tu kúuchil báaxalo'	Nosotros fuimos a leer en el parque	COMMC0002
YUAES0000944	Leti'obe' jbino'ob xook te' tu kúuchil báaxalo'	Ellos fueron a leer en el parque	COMMC0002
YUAES0000945	Tin wilaj te' taam kúuchil báaxalo'	Lo vi en el parque hundido	COMMC0002
YUAES0000946	Tin wilaj te' taam kúuchil báaxalo'	La vi en el parque hundido	COMMC0002
YUAES0000947	Chéen tin juunal jbinen te' tu kúuchil báaxalo'	Fui sola al parque	COMMC0002
YUAES0000948	Jbin in núup tin wéetel te' tu kúuchil báaxalo'	Me acompañó mi pareja al parque	COMMC0002
YUAES0000949	Jbinen xíimbal yéetel in etail te' tu kúuchil báaxalo'	Fui a pasear al parque con mi amigo	COMMC0002
YUAES0000950	Jbinen xíimbal yéetel in etail te' tu kúuchil báaxalo'	Fui a pasear al parque con mi amiga	COMMC0002
YUAES0000951	Tin je'elskinbáaj te' tu kúuchil báaxalo'	Estoy descansando en el parque	COMMC0002
YUAES0000952	Táan in je'elskinbáaj te' tu kúuchil báaxalo'	Estoy descansando en el parque	COMMC0002
YUAES0000953	Táan in bin tin wotoch	Estoy yendo a mi casa	COMMC0003
YUAES0000954	Táan a bin ta wotoch	Estas yendo a mi casa	COMMC0003
YUAES0000955	Táan u bin tu yotoch	Está yendo a su casa	COMMC0003
YUAES0000956	Leti'obe' táan u bino'ob tin wotoch	Ellos están yendo a mi casa	COMMC0003
YUAES0000957	Te'exe' táan a bine'ex tin wotoch	Ustedes están yendo a mi casa	COMMC0003
YUAES0000958	To'one' táan k bin tin wotoch	Nosotros estamos yendo a mi casa	COMMC0003
YUAES0000959	Yaan wáaj in bin tin wotoch	¿Iré a mi casa?	COMMC0003
YUAES0000960	Yaan wáaj a bin tin wotoch	¿Irás a mi casa?	COMMC0003
YUAES0000961	Leti'e' yaan wáaj u bin tin wotoch	¿Él irá a mi casa?	COMMC0003
YUAES0000962	Leti'e' yaan wáaj u bin tin wotoch	¿Ella irá a mi casa?	COMMC0003
YUAES0000963	Leti'obe' yaan wáaj u bino'ob tin wotoch	¿Ellos irán a mi casa?	COMMC0003
YUAES0000964	Leti'obe' yaan wáaj u bino'ob tin wotoch	¿Ellas irán a mi casa?	COMMC0003
YUAES0000965	Te'e'xe' yaan wáaj a bine'ex tin wotoch	¿Ustedes irán a mi casa?	COMMC0003
YUAES0000966	To'one' yaan wáaj k bin tin wotoch	¿Nosotros iremos a mi casa?	COMMC0003
YUAES0000967	Yaan in bin wáaj tin wotoch	¿Iré a mi casa?	COMMC0003
YUAES0000968	Yaan a bin wáaj tin wotoch	¿Irás a mi casa?	COMMC0003
YUAES0000969	Leti'e' yaan u bin wáaj tin wotoch	¿Él irá a mi casa?	COMMC0003
YUAES0000970	Leti'e' yaan u bin wáaj tin wotoch	¿Ella irá a mi casa?	COMMC0003
YUAES0000971	Leti'obe' yaan u bino'ob wáaj tin wotoch	¿Ellos irán a mi casa?	COMMC0003
YUAES0000972	Leti'obe' yaan u bino'ob wáaj tin wotoch	¿Ellas irán a mi casa?	COMMC0003
YUAES0000973	Te'exe' yaan a bine'ex wáaj tin wotoch	¿Ustedes irán a mi casa?	COMMC0003
YUAES0000974	To'one' yaan ek bin wáaj tin wotoch	¿Nosotros iremos a mi casa?	COMMC0003
YUAES0000975	Yaan in bin tin wotoch wáaj	¿Iré a mi casa?	COMMC0003
YUAES0000976	Yaan a bin tin wotoch wáaj	¿Irás a mi casa?	COMMC0003
YUAES0000977	Leti'e' yaan u bin tin wotoch wáaj	¿Él irá a mi casa?	COMMC0003
YUAES0000978	Leti'e' yaan u bin tin wotoch wáaj	¿Ella irá a mi casa?	COMMC0003
YUAES0000979	Leti'obe' yaan u bino'ob tin wotoch wáaj	¿Ellos irán a mi casa?	COMMC0003
YUAES0000980	Leti'obe' yaan u bino'ob tin wotoch wáaj	¿Ellas irán a mi casa?	COMMC0003
YUAES0000981	Te'exe' yaan a bine'ex tin wotoch wáaj	¿Ustedes irán a mi casa?	COMMC0003
YUAES0000982	To'one' yaan ek bin tin wotoch wáaj	¿Nosotros iremos a mi casa?	COMMC0003
YUAES0000983	Máax ku bin tin wotoch	¿Quién va a mi casa?	COMMC0003
YUAES0000984	Máax ku binsikech tin wotoch	¿Quién te llevará a mi casa?	COMMC0003
YUAES0000985	Máax ku binsiko'on tin wotoch	¿Quién nos llevará a mi casa?	COMMC0003
YUAES0000986	Máax ku binsike'ex tin wotoch	¿Quién les llevará a mi casa?	COMMC0003
YUAES0000987	Tu'ux kajakbalech	¿Dónde vives?	COMMC0003
YUAES0000988	Bix u boonil a wotoch	¿De qué color es tu casa?	COMMC0003
YUAES0000989	Yaan wáaj páak'alo'ob ta wotoch	¿Hay plantas en tu casa?	COMMC0003
YUAES0000990	Yaan wáaj ba'alche'ob ta wotoch	¿Hay animales en tu casa?	COMMC0003
YUAES0000991	Ma' táan in bin tin wotochi'	No estoy yendo a mi casa	COMMC0003
YUAES0000992	Ma' táan a bin tin wotochi'	No estás yendo a mi casa	COMMC0003
YUAES0000993	Leti'e' ma' táan u bin tin wotochi'	Él no está yendo a mi casa	COMMC0003
YUAES0000994	Leti'obe' ma' táan u bino'ob tin wotochi'	Ellos no están yendo a mi casa	COMMC0003
YUAES0000995	Te'exe' ma' táan a bine'ex tin wotochi'	Ustedes no están yendo a mi casa	COMMC0003
YUAES0000996	To'one' ma' táan ek bin tin wotochi'	Nosotros no estamos yendo a mi casa	COMMC0003
YUAES0000997	Táan wáaj a bin tin wotoch	¿Estás yendo a mi casa?	COMMC0003
YUAES0000998	Leti'e' táan wáaj u bin tin wotoch	¿Él está yendo a mi casa?	COMMC0003
YUAES0000999	Leti'e' táan wáaj u bin tin wotoch	¿Ella está yendo a mi casa?	COMMC0003
YUAES0001000	Leti'obe' táan wáaj u bino'ob tin wotoch	¿Ellos están yendo a mi casa?	COMMC0003
YUAES0001001	Leti'obe' táan wáaj u bino'ob tin wotoch	¿Ellas están yendo a mi casa?	COMMC0003
YUAES0001002	Te'e'xe' táan wáaj a bine'ex tin wotoch	¿Ustedes están yendo a mi casa?	COMMC0003
YUAES0001003	To'one' táan wáaj ek bin tin wotoch	¿Nosotros estamos yendo a mi casa?	COMMC0003
YUAES0001004	Bix a bin tin wotoch	¿Cómo vas a mi casa?	COMMC0003
YUAES0001005	Sáansamal wáaj ka bin tin wotoch	¿Todos los días vas a mi casa?	COMMC0003
